Age,Gender,Civil Status,Religion,Educational Attainment,Barangay,Type of Current Offense,Prior Convictions,Juvenile Records,History of Incarceration,Length of Current Sentence (yrs),Time Served (yrs),Reoffense Nature,Time to Reoffend (mos),Infractions Count,Infractions Type,Jail Behavior Rating,Solitary Time (days),Jail Duties,Rehab Programs,Religious Activities,Group Recreation,Psych Assessment Result,Personality Disorders,Conflict in Jail,Impulsivity,Manipulativeness,Aggression,Remorse,Law Belief,Rehab Attitude,Gang Affiliation,Peer Influence,Friends w/ Record,Peer Type,Living Before Arrest,Education in Jail,Vocational Training,Therapy Attendance,Substance Abuse,Drug Rehab,Family Support,Family Relationship,Domestic Trauma,Marital Quality,Dependents,Family Reunification Intent,Pre-Jail Education,Job History,Income Level,Homelessness,Access to Needs,Juvenile Street Living,Release Date,Parole Status,Job After Release,NGO Support,Post-Release Housing,Post-Release Programs,Reoffend Time (mos),Reoffense Type
52,Male,Single,Catholic,High School,Santo Angel,Robbery,2 - Fraud,No,Yes,5,0.8,Escalation,9,4,Verbal Threats,Poor,8,No,No,No,Art Therapy,High,BPD,Yes,Low,Low,High,No,High,Resistant,Yes,Yes,3,Antisocial,With Peers,No,Yes,Yes,Both,Yes,None,Strong,Yes,Good,5,No,High School,Construction,Low,No,None,Yes,6/18/2022,Completed,Unemployed,No,Halfway House,No,9,Robbery
62,Male,Widowed,Christian,College,Malinao,Homicide,0 - Fraud,No,No,10,6.6,None,,2,Contraband,Good,16,No,Yes,No,Sports,Low,Narcissistic,No,Moderate,Moderate,Low,Yes,Moderate,Willing,No,No,0,Antisocial,Homeless,No,Yes,No,Both,Yes,Frequent,Strained,Yes,Poor,4,Yes,College,Odd Jobs,Medium,Yes,None,Yes,5/7/2024,Completed,Unemployed,Yes,Homeless,No,,
35,Female,Separated,Iglesia,Elementary,San Juan,Fraud,0 - Robbery,No,Yes,4,3.1,Escalation,12,1,Contraband,Poor,0,Yes,No,Yes,Art Therapy,Moderate,Antisocial,Yes,High,Moderate,Moderate,Yes,Moderate,Resistant,Yes,No,4,Prosocial,With Peers,No,No,Yes,Both,Yes,Occasional,Absent,No,Good,1,No,Elementary,Odd Jobs,Medium,No,Regular,Yes,4/22/2021,Parole,Unemployed,No,Halfway House,Yes,12,Fraud
32,Male,Widowed,None,Elementary,Alipit,Estafa,1 - Theft,No,Yes,15,12.5,None,,3,None,Good,28,Yes,No,Yes,Sports,Very High,Antisocial,Yes,High,Low,Low,Yes,Moderate,Cooperative,No,No,4,Antisocial,With Family,No,Yes,Yes,Both,No,None,Strong,No,Good,3,Yes,Elementary,Odd Jobs,Medium,Yes,Regular,Yes,10/6/2021,None,Employed,No,Halfway House,Yes,,
29,Male,Single,Iglesia,None,Jasaan,Robbery,0 - Theft,Yes,Yes,4,1.8,Same,32,4,None,Good,19,Yes,Yes,Yes,None,Low,BPD,No,Moderate,Low,Moderate,Yes,Low,Willing,No,No,5,Prosocial,With Family,No,No,No,None,No,None,Absent,Yes,Good,0,No,None,Construction,Low,Yes,None,Yes,7/21/2020,None,Unemployed,No,With Family,No,32,Robbery
39,Female,Widowed,Iglesia,Graduate,Bagumbayan,Fraud,1 - Estafa,Yes,Yes,10,3.3,Escalation,13,5,Verbal Threats,Good,21,No,No,No,Art Therapy,Very High,Antisocial,Yes,Moderate,Low,High,Some,High,Willing,Yes,Yes,0,Antisocial,With Family,No,No,Yes,Both,Yes,None,Absent,Yes,Good,1,Yes,Graduate,Unemployed,None,No,Irregular,No,7/21/2020,Completed,Unemployed,Yes,Halfway House,Yes,13,Fraud
26,Male,Married,Iglesia,None,Alipit,Assault,1 - Theft,Yes,No,14,9.1,None,,2,Contraband,Fair,7,No,Yes,Yes,Art Therapy,Moderate,Schizoid,No,Low,Low,Low,Yes,High,Cooperative,No,No,1,Antisocial,Alone,Yes,Yes,Yes,Drugs,No,Occasional,Absent,No,Poor,4,Yes,None,Odd Jobs,High,No,Regular,No,4/26/2024,None,Unemployed,No,Halfway House,Yes,,
39,Male,Married,Catholic,None,Santo Angel,Fraud,2 - Homicide,Yes,No,13,4.9,None,,3,None,Fair,5,No,No,Yes,Art Therapy,Low,BPD,No,Low,Moderate,Moderate,Some,Low,Cooperative,No,No,5,Prosocial,With Peers,No,No,No,Drugs,No,None,Strained,No,Good,1,No,None,Factory,Medium,No,Regular,Yes,7/21/2022,Parole,Unemployed,Yes,Homeless,Yes,,
54,Female,Widowed,Iglesia,College,Malinao,Assault,0 - Illegal Drugs,Yes,No,13,2.1,Escalation,27,5,None,Good,19,Yes,No,Yes,None,Very High,Schizoid,Yes,Moderate,High,Moderate,Yes,Low,Cooperative,Yes,No,3,Prosocial,With Family,Yes,Yes,Yes,Drugs,No,Occasional,Absent,Yes,Poor,2,No,College,Clerk,High,Yes,Irregular,Yes,5/23/2024,None,Employed,No,With Family,Yes,27,Assault
32,Male,Single,Muslim,Vocational,Alipit,Homicide,1 - Fraud,Yes,Yes,8,5.3,Same,4,4,Contraband,Fair,2,No,No,No,None,Very High,None,No,Low,Moderate,High,Yes,High,Cooperative,No,Yes,0,Antisocial,With Family,Yes,Yes,Yes,None,No,None,Strained,Yes,Poor,2,Yes,Vocational,Odd Jobs,Low,No,Irregular,No,9/6/2020,None,Unemployed,No,With Family,Yes,4,Homicide
42,Male,Widowed,Muslim,College,Malinao,Assault,3 - Robbery,Yes,Yes,9,8.9,Escalation,18,4,Verbal Threats,Good,27,Yes,Yes,No,None,High,None,Yes,Moderate,Low,High,Yes,Low,Cooperative,No,No,3,Antisocial,Homeless,No,Yes,Yes,Alcohol,Yes,Occasional,Strained,Yes,Good,2,Yes,College,Construction,Low,Yes,Irregular,No,9/11/2023,Parole,Employed,No,Renting,Yes,18,Assault
35,Male,Separated,Muslim,Vocational,San Juan,Assault,0 - Illegal Drugs,Yes,Yes,2,1.9,None,,2,None,Fair,14,Yes,No,No,None,High,None,Yes,High,Low,Low,Some,High,Cooperative,No,Yes,3,Antisocial,Homeless,Yes,Yes,No,Both,No,None,Strained,Yes,Good,4,No,Vocational,Retail,High,No,None,Yes,3/14/2021,Parole,Unemployed,Yes,Halfway House,Yes,,
39,Male,Widowed,Christian,High School,San Juan,Homicide,0 - Robbery,No,No,6,2.9,Same,35,2,Fighting,Fair,30,Yes,Yes,Yes,Art Therapy,Moderate,Narcissistic,No,High,Low,Low,Some,High,Willing,No,Yes,0,Prosocial,With Peers,No,No,No,Alcohol,Yes,Frequent,Strong,Yes,,2,Yes,High School,Odd Jobs,High,Yes,Irregular,No,10/18/2023,None,Employed,No,Halfway House,Yes,35,Homicide
58,Female,Single,Christian,High School,Gatmaitan,Fraud,2 - Assault,No,Yes,4,0.5,None,,3,Fighting,Good,17,No,Yes,Yes,None,Very High,BPD,Yes,Moderate,Moderate,Moderate,Some,High,Cooperative,Yes,No,1,Prosocial,Alone,No,No,Yes,None,Yes,Frequent,Strained,Yes,Good,0,Yes,High School,Odd Jobs,Medium,Yes,Regular,No,8/7/2022,None,Employed,No,Homeless,No,,
48,Male,Separated,Catholic,Graduate,Labuin,Robbery,3 - Theft,No,No,12,7.5,Escalation,26,3,None,Fair,9,Yes,No,Yes,Sports,High,Antisocial,Yes,Low,High,High,Some,Low,Cooperative,No,Yes,5,Prosocial,With Peers,Yes,No,Yes,Alcohol,Yes,Frequent,Absent,Yes,Poor,1,Yes,Graduate,Retail,None,No,None,No,11/8/2023,Completed,Employed,Yes,Halfway House,No,26,Robbery
58,Male,Single,Muslim,None,Patimbao,Homicide,0 - Theft,Yes,No,12,10,Same,27,0,Verbal Threats,Poor,1,Yes,No,No,None,Moderate,Antisocial,No,Moderate,High,Moderate,No,Low,Cooperative,No,No,4,Antisocial,With Peers,No,Yes,Yes,None,No,None,Strained,No,,0,No,None,Retail,Low,No,None,No,11/27/2022,Parole,Employed,Yes,Renting,Yes,27,Homicide
49,Male,Separated,Iglesia,High School,Gatmaitan,Fraud,1 - Assault,No,No,5,4.4,None,,1,None,Poor,4,No,Yes,Yes,Sports,Moderate,None,No,High,Low,Low,Some,High,Resistant,No,Yes,2,Antisocial,With Family,No,No,Yes,Alcohol,No,Frequent,Strained,Yes,,0,Yes,High School,Odd Jobs,Medium,No,None,Yes,10/23/2023,Parole,Employed,Yes,With Family,Yes,,
64,Male,Single,None,College,Labuin,Illegal Drugs,0 - Robbery,No,Yes,12,0.5,Escalation,35,0,Fighting,Poor,20,Yes,No,No,Sports,High,Schizoid,Yes,High,High,Low,No,High,Cooperative,Yes,No,5,Antisocial,Homeless,No,No,Yes,Alcohol,No,Occasional,Strong,Yes,,0,Yes,College,Odd Jobs,High,Yes,Irregular,No,12/9/2023,Completed,Employed,No,Renting,Yes,35,Illegal Drugs
23,Male,Widowed,None,Elementary,Jasaan,Fraud,1 - Theft,No,No,15,3.4,Escalation,33,2,Fighting,Good,17,Yes,No,Yes,None,Very High,Schizoid,Yes,Moderate,Moderate,High,Some,High,Cooperative,Yes,No,3,Prosocial,Homeless,Yes,No,No,Both,Yes,None,Absent,Yes,Poor,1,No,Elementary,Factory,Medium,Yes,Regular,No,8/13/2021,Parole,Employed,Yes,Homeless,No,33,Fraud
45,Female,Single,None,Graduate,Patimbao,Illegal Drugs,3 - Homicide,No,Yes,7,6.9,Escalation,11,1,Verbal Threats,Fair,9,Yes,No,Yes,Sports,High,Antisocial,No,Moderate,Moderate,Low,Some,Moderate,Resistant,No,No,2,Antisocial,Alone,No,Yes,No,None,Yes,None,Strained,Yes,Poor,0,No,Graduate,Construction,High,Yes,None,Yes,10/28/2021,Completed,Unemployed,No,With Family,No,11,Illegal Drugs
23,Male,Widowed,None,Vocational,Pagsawitan,Theft,2 - Fraud,Yes,Yes,12,7.4,Escalation,18,4,Fighting,Poor,30,No,No,No,None,Very High,None,Yes,High,Low,Low,No,Low,Cooperative,Yes,Yes,5,Antisocial,With Peers,Yes,Yes,No,None,No,Occasional,Strong,Yes,Poor,5,No,Vocational,Odd Jobs,Low,Yes,Regular,Yes,10/7/2023,Parole,Employed,No,Renting,Yes,18,Theft
18,Female,Married,Catholic,Elementary,Aplaya,Assault,1 - Estafa,No,Yes,5,3.7,None,,3,Contraband,Good,15,No,Yes,No,Art Therapy,Low,Antisocial,No,Moderate,High,High,Some,Moderate,Resistant,No,No,0,Prosocial,Homeless,Yes,No,No,Drugs,No,Frequent,Strained,No,,0,No,Elementary,Retail,High,No,Irregular,Yes,9/7/2022,Completed,Employed,No,Homeless,Yes,,
44,Female,Married,Iglesia,Vocational,Taytay,Assault,2 - Illegal Drugs,Yes,Yes,14,9.5,Escalation,31,2,None,Good,29,No,Yes,Yes,None,Very High,Schizoid,Yes,High,High,Moderate,Some,Low,Resistant,No,No,4,Antisocial,With Peers,Yes,No,No,None,No,None,Strong,Yes,,2,No,Vocational,Retail,Low,Yes,Regular,No,5/6/2021,None,Employed,Yes,Homeless,No,31,Assault
32,Female,Married,None,High School,Bagumbayan,Homicide,2 - Homicide,Yes,Yes,9,8.4,Same,27,1,Contraband,Poor,11,Yes,No,Yes,None,Moderate,None,No,Moderate,Low,High,Yes,High,Cooperative,No,Yes,2,Antisocial,With Family,Yes,No,No,Alcohol,Yes,Occasional,Absent,No,Good,0,Yes,High School,Unemployed,Low,Yes,None,No,1/9/2024,Parole,Unemployed,No,Renting,No,27,Homicide
34,Male,Separated,Iglesia,Elementary,Aplaya,Homicide,2 - Theft,Yes,No,8,2.2,Same,36,5,Contraband,Fair,9,No,Yes,No,None,Very High,None,Yes,High,Low,Moderate,Yes,Low,Willing,No,No,2,Prosocial,Alone,No,Yes,No,Alcohol,No,Frequent,Absent,Yes,Poor,3,Yes,Elementary,Odd Jobs,High,No,Irregular,Yes,2/22/2021,Completed,Unemployed,No,Homeless,Yes,36,Homicide
45,Female,Single,Christian,Vocational,Pagsawitan,Robbery,2 - Robbery,Yes,No,7,1.5,None,,4,Verbal Threats,Fair,18,Yes,Yes,No,Sports,Low,BPD,No,Low,Moderate,High,Some,Low,Willing,No,Yes,5,Prosocial,Alone,Yes,No,No,Alcohol,Yes,Frequent,Strong,No,Good,4,Yes,Vocational,Construction,Medium,Yes,None,No,1/5/2021,Completed,Employed,No,Halfway House,No,,
20,Male,Married,Christian,None,San Pablo Norte,Assault,1 - Estafa,No,No,8,3.3,Same,5,0,Contraband,Fair,18,Yes,No,No,Sports,Low,Schizoid,Yes,High,Moderate,Low,Some,High,Willing,Yes,Yes,0,Antisocial,Homeless,No,Yes,Yes,Drugs,Yes,Occasional,Strong,Yes,,3,Yes,None,Retail,Medium,Yes,Irregular,Yes,9/4/2021,Completed,Employed,Yes,With Family,No,5,Assault
32,Male,Married,Catholic,College,Alipit,Illegal Drugs,3 - Robbery,Yes,No,8,2.1,Escalation,28,3,Verbal Threats,Good,11,Yes,No,No,Sports,Very High,Antisocial,No,High,High,High,No,Low,Willing,Yes,Yes,2,Prosocial,With Peers,Yes,Yes,Yes,None,Yes,None,Strained,Yes,,3,Yes,College,Odd Jobs,Medium,No,Regular,Yes,6/17/2024,Completed,Unemployed,No,With Family,Yes,28,Illegal Drugs
59,Male,Widowed,Catholic,College,Aplaya,Homicide,1 - Assault,No,No,11,4.2,None,,0,Fighting,Good,25,No,Yes,Yes,Sports,Moderate,Schizoid,Yes,Moderate,Low,Low,Yes,Moderate,Cooperative,Yes,Yes,2,Prosocial,With Family,Yes,No,Yes,Alcohol,Yes,Frequent,Strong,Yes,Poor,1,Yes,College,Unemployed,Low,Yes,None,No,2/24/2024,None,Unemployed,Yes,Homeless,Yes,,
33,Male,Separated,Christian,Graduate,Calios,Robbery,0 - Estafa,No,No,7,3.6,Same,3,0,Contraband,Good,2,No,Yes,Yes,Art Therapy,Low,Narcissistic,Yes,Moderate,Low,Moderate,No,Moderate,Cooperative,No,Yes,1,Antisocial,Homeless,Yes,No,Yes,None,Yes,None,Strained,No,Poor,2,No,Graduate,Retail,High,Yes,None,No,6/13/2022,Parole,Employed,No,Homeless,No,3,Robbery
23,Male,Separated,Iglesia,Graduate,Jasaan,Fraud,0 - Homicide,No,Yes,14,6.2,None,,2,None,Good,4,No,No,No,None,Moderate,None,No,Moderate,Moderate,Low,Some,Low,Cooperative,No,No,0,Antisocial,Alone,Yes,No,No,None,No,Occasional,Strained,No,Good,3,No,Graduate,Odd Jobs,Low,Yes,Irregular,Yes,8/14/2020,Parole,Unemployed,Yes,With Family,No,,
29,Female,Married,Catholic,College,Calios,Robbery,3 - Illegal Drugs,No,No,8,0.7,Escalation,25,2,None,Poor,18,No,No,Yes,Sports,Very High,Schizoid,Yes,Low,Low,Moderate,No,Low,Willing,Yes,No,5,Antisocial,With Family,No,Yes,Yes,None,Yes,Occasional,Strong,No,Poor,4,Yes,College,Construction,None,Yes,Irregular,Yes,12/22/2023,Parole,Employed,Yes,Homeless,Yes,25,Robbery
26,Male,Widowed,Iglesia,None,Alipit,Illegal Drugs,0 - Theft,Yes,No,12,7.2,Escalation,4,3,Contraband,Poor,14,No,No,No,None,Very High,Schizoid,Yes,Moderate,Low,Low,Yes,Moderate,Cooperative,Yes,No,4,Prosocial,With Peers,No,No,Yes,None,Yes,Occasional,Strong,No,Good,5,No,None,Retail,Low,Yes,Irregular,Yes,3/20/2020,Completed,Unemployed,No,Homeless,Yes,4,Illegal Drugs
65,Female,Single,Iglesia,College,Bagumbayan,Robbery,3 - Illegal Drugs,No,Yes,2,1.4,Same,34,5,Verbal Threats,Fair,16,Yes,Yes,Yes,Sports,Low,Narcissistic,Yes,Moderate,Moderate,Moderate,Yes,High,Resistant,Yes,Yes,3,Antisocial,Alone,No,Yes,Yes,None,No,None,Absent,No,Poor,4,Yes,College,Unemployed,Medium,Yes,Regular,No,10/12/2021,None,Unemployed,No,Halfway House,Yes,34,Robbery
39,Female,Married,None,College,Alipit,Fraud,0 - Illegal Drugs,No,No,12,3,None,,1,Fighting,Fair,24,No,Yes,No,Art Therapy,Low,Schizoid,Yes,Moderate,High,Low,No,High,Willing,No,No,1,Antisocial,Alone,Yes,No,Yes,None,No,Frequent,Absent,No,Poor,2,Yes,College,Odd Jobs,Medium,No,Regular,Yes,7/7/2022,Parole,Employed,Yes,Homeless,No,,
51,Female,Single,None,Vocational,Patimbao,Homicide,2 - Assault,No,Yes,11,3.4,None,,0,Fighting,Poor,3,No,No,Yes,Art Therapy,Low,Narcissistic,No,High,Low,Low,Yes,Low,Resistant,No,Yes,3,Prosocial,With Family,No,Yes,Yes,Both,Yes,None,Strained,Yes,,1,No,Vocational,Odd Jobs,Low,Yes,None,No,12/20/2020,None,Employed,Yes,Homeless,Yes,,
29,Male,Separated,Muslim,High School,Malinao,Theft,0 - Robbery,Yes,No,5,1.7,Escalation,36,2,Fighting,Poor,21,Yes,Yes,No,Sports,High,None,No,Moderate,Moderate,Moderate,No,Low,Cooperative,No,Yes,2,Prosocial,With Peers,Yes,No,Yes,Drugs,No,Occasional,Strong,Yes,Good,3,Yes,High School,Construction,Medium,Yes,Irregular,No,11/21/2020,None,Employed,Yes,Homeless,Yes,36,Theft
60,Male,Single,Christian,High School,Calios,Assault,2 - Illegal Drugs,Yes,Yes,11,10.5,Same,31,3,None,Fair,18,No,Yes,Yes,None,High,BPD,Yes,High,Moderate,Low,No,Moderate,Cooperative,Yes,Yes,4,Antisocial,Alone,No,Yes,No,Alcohol,No,Frequent,Strained,No,,1,Yes,High School,Construction,High,Yes,Regular,No,9/20/2024,Parole,Employed,No,Renting,No,31,Assault
41,Male,Separated,Iglesia,College,Bagumbayan,Homicide,0 - Robbery,No,No,13,4.1,Escalation,16,5,Fighting,Fair,30,Yes,No,No,Sports,Very High,Antisocial,Yes,Moderate,Low,High,Some,Low,Resistant,No,No,3,Antisocial,Alone,No,No,No,Drugs,Yes,Occasional,Absent,Yes,Poor,3,No,College,Unemployed,Medium,No,Regular,Yes,1/25/2020,None,Unemployed,No,Renting,No,16,Homicide
31,Female,Widowed,None,Graduate,Calios,Homicide,3 - Robbery,No,No,8,4.9,None,,4,Contraband,Fair,0,No,Yes,No,None,Low,Narcissistic,Yes,Low,Moderate,High,Some,Low,Cooperative,Yes,Yes,4,Prosocial,Homeless,Yes,No,No,Both,No,Occasional,Strained,No,Good,5,No,Graduate,Unemployed,High,Yes,None,Yes,8/22/2023,Completed,Unemployed,Yes,Renting,No,,
62,Male,Widowed,None,Graduate,Calios,Robbery,2 - Theft,No,No,13,11.9,None,,2,None,Fair,27,Yes,No,No,Art Therapy,Low,BPD,No,Low,High,Moderate,Yes,Moderate,Resistant,Yes,No,3,Antisocial,With Peers,Yes,Yes,No,None,Yes,None,Strained,No,Poor,5,Yes,Graduate,Retail,Medium,Yes,None,No,9/21/2021,Completed,Employed,No,With Family,No,,
30,Female,Widowed,Christian,None,Patimbao,Fraud,0 - Theft,Yes,Yes,8,4.6,Escalation,22,0,Fighting,Good,24,No,No,Yes,None,Very High,Narcissistic,No,High,Moderate,Moderate,Yes,Low,Willing,No,No,1,Antisocial,Alone,No,Yes,No,Drugs,No,Frequent,Absent,No,Poor,4,No,None,Clerk,Low,Yes,Regular,Yes,4/8/2021,Completed,Unemployed,No,With Family,No,22,Fraud
63,Male,Separated,Christian,None,Malinao,Estafa,2 - Assault,No,No,8,7.1,Same,27,1,None,Good,30,No,No,No,None,Low,Schizoid,No,Moderate,Moderate,Moderate,Some,High,Willing,No,Yes,2,Prosocial,Alone,No,Yes,No,Both,No,Frequent,Strong,No,Poor,3,No,None,Factory,High,No,Regular,No,1/28/2021,Completed,Unemployed,No,Halfway House,Yes,27,Estafa
37,Female,Widowed,Christian,High School,Santo Angel,Theft,2 - Fraud,No,Yes,11,8.7,Same,4,0,Verbal Threats,Poor,27,No,Yes,No,Art Therapy,Very High,Antisocial,Yes,Low,High,Moderate,No,Moderate,Willing,Yes,No,5,Prosocial,With Peers,Yes,No,Yes,Alcohol,Yes,Occasional,Strained,Yes,,5,Yes,High School,Unemployed,Medium,No,Regular,Yes,1/24/2020,Parole,Unemployed,No,Homeless,Yes,4,Theft
23,Female,Widowed,Catholic,None,Alipit,Theft,2 - Robbery,Yes,No,13,12.1,Escalation,28,0,Contraband,Poor,9,No,No,No,Sports,Very High,Schizoid,No,High,Low,Moderate,No,Moderate,Resistant,No,No,5,Prosocial,Alone,Yes,No,Yes,Drugs,No,Occasional,Absent,No,Good,4,Yes,None,Construction,Low,Yes,None,Yes,12/6/2020,None,Employed,No,Homeless,No,28,Theft
19,Female,Widowed,Iglesia,Graduate,San Pablo Norte,Robbery,3 - Illegal Drugs,Yes,Yes,5,0.7,Same,14,0,None,Fair,1,No,No,No,Art Therapy,Moderate,BPD,Yes,Moderate,Moderate,High,No,High,Willing,Yes,No,3,Prosocial,With Peers,Yes,Yes,Yes,Drugs,No,Occasional,Strong,Yes,,5,Yes,Graduate,Clerk,Low,No,None,Yes,2/18/2022,None,Unemployed,No,Halfway House,No,14,Robbery
48,Female,Single,Christian,None,San Pablo Norte,Assault,0 - Robbery,Yes,Yes,3,1.4,Escalation,13,2,None,Fair,17,Yes,No,Yes,None,High,BPD,Yes,Moderate,High,High,Some,Moderate,Resistant,Yes,No,5,Antisocial,Alone,No,No,No,None,No,Occasional,Strained,Yes,Good,4,Yes,None,Unemployed,Low,No,None,Yes,12/25/2024,Parole,Employed,Yes,With Family,No,13,Assault
42,Male,Widowed,Christian,Graduate,Labuin,Fraud,1 - Assault,Yes,Yes,12,7.5,Escalation,30,5,Fighting,Good,26,Yes,Yes,Yes,None,High,BPD,No,Low,Moderate,Low,Yes,Moderate,Resistant,No,Yes,1,Antisocial,With Family,No,No,No,Alcohol,Yes,Frequent,Strained,Yes,Good,1,Yes,Graduate,Construction,Medium,Yes,Irregular,No,2/22/2024,None,Employed,Yes,Homeless,No,30,Fraud
57,Female,Widowed,Muslim,Vocational,Calios,Homicide,3 - Illegal Drugs,No,No,15,4.9,None,,5,Fighting,Poor,18,Yes,Yes,No,None,High,Antisocial,Yes,Low,Moderate,Moderate,No,Low,Resistant,Yes,Yes,3,Antisocial,Homeless,No,Yes,Yes,None,Yes,Frequent,Absent,No,Good,5,Yes,Vocational,Retail,Low,No,None,Yes,11/3/2021,None,Unemployed,No,Homeless,Yes,,
59,Female,Separated,Christian,None,Alipit,Illegal Drugs,2 - Estafa,Yes,Yes,1,0.7,Same,9,5,Contraband,Fair,4,Yes,No,Yes,None,Moderate,BPD,Yes,Low,Low,High,No,Moderate,Willing,No,No,5,Antisocial,With Peers,Yes,No,Yes,Alcohol,No,Frequent,Strained,No,Good,5,Yes,None,Construction,None,Yes,None,No,7/2/2020,Completed,Employed,Yes,Renting,No,9,Illegal Drugs
18,Female,Widowed,Muslim,Vocational,Bagumbayan,Estafa,3 - Homicide,No,Yes,12,7.2,Escalation,6,5,Contraband,Fair,12,No,Yes,Yes,Sports,Very High,Antisocial,No,Moderate,Low,Low,No,High,Willing,No,No,2,Prosocial,Alone,Yes,Yes,No,None,No,None,Strong,Yes,,0,Yes,Vocational,Unemployed,Low,No,Regular,No,10/9/2023,None,Unemployed,Yes,With Family,Yes,6,Estafa
50,Male,Married,Muslim,None,Aplaya,Homicide,2 - Fraud,No,Yes,9,1.9,None,,4,Contraband,Fair,2,Yes,No,No,None,Low,Antisocial,Yes,Moderate,Moderate,Low,No,Low,Resistant,No,Yes,5,Prosocial,Homeless,Yes,Yes,No,Alcohol,Yes,None,Absent,No,Poor,0,No,None,Factory,High,No,Irregular,No,10/6/2021,Completed,Employed,Yes,Renting,Yes,,
25,Male,Married,Christian,High School,San Pablo Norte,Theft,3 - Robbery,No,No,9,6.7,None,,3,None,Fair,20,No,Yes,No,Art Therapy,High,Schizoid,Yes,Moderate,Moderate,High,Some,High,Willing,No,No,1,Antisocial,Alone,No,Yes,Yes,Both,No,Occasional,Absent,No,,5,Yes,High School,Factory,High,No,None,No,2/22/2022,Parole,Unemployed,No,Renting,No,,
46,Female,Single,Catholic,College,Labuin,Estafa,3 - Assault,No,Yes,5,3.3,Escalation,21,0,Contraband,Poor,13,No,Yes,No,Art Therapy,Very High,BPD,Yes,Low,High,Low,Some,High,Resistant,Yes,Yes,0,Prosocial,Alone,Yes,Yes,No,Both,Yes,Frequent,Strained,Yes,Good,4,No,College,Factory,Low,No,None,Yes,7/14/2023,None,Employed,No,Homeless,Yes,21,Estafa
23,Male,Widowed,Catholic,Elementary,San Pablo Norte,Assault,0 - Theft,No,Yes,8,6.1,Escalation,34,3,None,Poor,15,Yes,No,No,Art Therapy,High,Narcissistic,Yes,Moderate,Low,High,Yes,Moderate,Cooperative,No,No,2,Prosocial,Alone,No,Yes,Yes,Drugs,Yes,Occasional,Absent,No,,4,Yes,Elementary,Unemployed,Low,No,Irregular,No,9/12/2021,None,Employed,Yes,With Family,No,34,Assault
38,Male,Married,Catholic,Graduate,Palasan,Estafa,2 - Fraud,No,Yes,2,1.9,Escalation,12,3,Contraband,Good,30,No,No,No,None,High,Antisocial,No,Low,Moderate,High,No,Low,Willing,No,Yes,5,Antisocial,With Family,No,No,No,Drugs,Yes,Frequent,Absent,No,Poor,0,No,Graduate,Factory,Low,No,Regular,Yes,5/20/2023,None,Employed,Yes,Halfway House,No,12,Estafa
35,Female,Separated,Iglesia,High School,Calios,Fraud,2 - Robbery,Yes,No,1,0.7,Escalation,17,5,Fighting,Poor,26,No,Yes,No,None,Very High,Narcissistic,Yes,Moderate,Moderate,High,Yes,Low,Resistant,Yes,No,4,Antisocial,Homeless,No,Yes,No,None,No,Frequent,Strained,No,Poor,0,Yes,High School,Clerk,None,Yes,Regular,No,8/15/2022,Parole,Unemployed,No,Renting,Yes,17,Fraud
60,Female,Separated,Christian,Elementary,San Juan,Assault,3 - Robbery,No,No,5,1,Escalation,18,5,None,Fair,3,No,No,No,Art Therapy,Moderate,Schizoid,No,Low,Low,Low,No,Moderate,Willing,No,Yes,5,Prosocial,Homeless,No,No,No,None,No,Occasional,Strong,Yes,,2,Yes,Elementary,Odd Jobs,High,Yes,Regular,Yes,8/1/2022,Completed,Employed,No,With Family,No,18,Assault
43,Female,Single,Muslim,Graduate,Palasan,Homicide,3 - Homicide,Yes,No,2,1.3,None,,2,Contraband,Good,16,Yes,No,No,Art Therapy,Very High,None,Yes,Moderate,Low,Low,No,Moderate,Cooperative,Yes,Yes,3,Prosocial,With Family,Yes,Yes,No,None,No,Occasional,Absent,No,,0,No,Graduate,Factory,High,Yes,None,No,11/4/2022,Completed,Employed,Yes,Halfway House,Yes,,
60,Female,Separated,Iglesia,Graduate,San Pablo Norte,Assault,1 - Fraud,No,No,4,1.8,None,,2,None,Good,15,Yes,No,Yes,Sports,Moderate,Antisocial,Yes,Low,Low,Moderate,Yes,Low,Resistant,Yes,Yes,2,Antisocial,With Family,No,No,Yes,Both,No,None,Strong,No,Poor,5,Yes,Graduate,Construction,High,No,Irregular,Yes,9/1/2022,Parole,Employed,Yes,Homeless,Yes,,
41,Female,Widowed,None,Elementary,Calios,Fraud,0 - Robbery,Yes,No,3,2.9,None,,3,Fighting,Poor,15,No,Yes,Yes,None,Very High,Narcissistic,Yes,Low,Low,High,Yes,Low,Cooperative,Yes,No,5,Antisocial,With Peers,Yes,No,Yes,None,No,None,Absent,Yes,Poor,4,No,Elementary,Retail,Medium,No,Irregular,No,6/23/2023,Parole,Employed,No,Halfway House,No,,
36,Male,Single,None,None,Aplaya,Fraud,2 - Theft,Yes,No,15,7,None,,0,Contraband,Good,1,Yes,Yes,Yes,Art Therapy,Very High,Schizoid,No,Low,High,Moderate,Some,Low,Willing,No,Yes,1,Antisocial,With Family,No,Yes,Yes,Alcohol,No,Occasional,Strong,Yes,Good,1,No,None,Odd Jobs,Low,No,Regular,Yes,9/16/2020,Completed,Unemployed,No,Homeless,Yes,,
